wl,n,k
1.829378781399412901e+00,4.109837366885217058e+00,8.303858953423063127e+00
1.834738005659651838e+00,4.125323639129852893e+00,8.320969919002765280e+00
1.840097229919891220e+00,4.140809911374488728e+00,8.338080884582470986e+00
1.845456454180130157e+00,4.156291064193438523e+00,8.355191850162174916e+00
1.850815678440369094e+00,4.171494799485366833e+00,8.372302815741877069e+00
1.856174902700608031e+00,4.186698534777295144e+00,8.389413781321580998e+00
1.861534126960847191e+00,4.201902270069224343e+00,8.406524746901284928e+00
1.866893351221086128e+00,4.217106005361152654e+00,8.422100446801813689e+00
1.872252575481325065e+00,4.232309740653081853e+00,8.437151614407222056e+00
1.877611799741564003e+00,4.247513475945010164e+00,8.452202782012630422e+00
1.882971024001803162e+00,4.262717211236939363e+00,8.467253949618040565e+00
1.888330248262042321e+00,4.274870222147714394e+00,8.482305117223450708e+00
1.893689472522281259e+00,4.283996319209088632e+00,8.497356284828859074e+00
1.899048696782520196e+00,4.293122416270463759e+00,8.512407452434267441e+00
1.904407921042759133e+00,4.302248513331838886e+00,8.527458620039677584e+00
1.909767145302998292e+00,4.311374610393214013e+00,8.541995759133127919e+00
1.915126369563237230e+00,4.320500707454589140e+00,8.554529789516912786e+00
1.920485593823476167e+00,4.329626804515964267e+00,8.567063819900697652e+00
1.925844818083715104e+00,4.338752901577339394e+00,8.579597850284482519e+00
1.931204042343954486e+00,4.347878998638714521e+00,8.592131880668267385e+00
1.936563266604193423e+00,4.357005095700089647e+00,8.604665911052052252e+00
1.941922490864432360e+00,4.366131192761464774e+00,8.617199941435837118e+00
1.947281715124671297e+00,4.376850066506305481e+00,8.629733971819621985e+00
1.952640939384910457e+00,4.388784842313480539e+00,8.642268002203405075e+00
1.958000163645149394e+00,4.400719618120656484e+00,8.654802032587189942e+00
1.963359387905388331e+00,4.412654393927832430e+00,8.667336062970974808e+00
1.968718612165627269e+00,4.424589169735007488e+00,8.679870093354759675e+00
1.974077836425866428e+00,4.436523945542183434e+00,8.692404123738544541e+00
1.979437060686105587e+00,4.448458721349359379e+00,8.704938154122329408e+00
1.984796284946344525e+00,4.460393497156535325e+00,8.721980597453313777e+00
1.990155509206583462e+00,4.472328272963710383e+00,8.742906769348659068e+00
1.995514733466822399e+00,4.484263048770886328e+00,8.763832941244002583e+00
